,date
0,190101
1,190102
3,190104
4,190105
5,190106
6,190107
7,190108
8,190109
13,190114
14,190115
15,190116
17,190118
18,190119
19,190120
20,190121
21,190122
22,190123
23,190124
24,190125
25,190126
26,190127
27,190128
28,190129
29,190130
30,190131
31,190201
32,190202
33,190203
34,190204
35,190205
36,190206
37,190207
38,190208
39,190209
40,190210
41,190211
42,190212
43,190213
44,190214
45,190215
46,190216
47,190217
48,190218
49,190219
50,190220
51,190221
52,190222
53,190223
54,190224
55,190225
56,190226
63,190305
64,190306
65,190307
66,190308
67,190309
68,190310
69,190311
70,190312
71,190313
72,190314
73,190315
74,190316
75,190317
76,190318
77,190319
78,190320
79,190321
80,190322
81,190323
82,190324
83,190325
84,190326
85,190327
86,190328
87,190329
88,190330
89,190331
90,190401
91,190402
92,190403
93,190404
94,190405
95,190406
96,190407
97,190408
98,190409
99,190410
100,190411
101,190412
102,190413
103,190414
104,190415
105,190416
106,190417
107,190418
108,190419
109,190420
110,190421
111,190422
112,190423
113,190424
114,190425
115,190426
116,190427
117,190428
118,190429
119,190430
120,190501
121,190502
122,190503
123,190504
124,190505
125,190506
126,190507
127,190508
128,190509
129,190510
130,190511
131,190512
132,190513
133,190514
134,190515
135,190516
136,190517
137,190518
138,190519
139,190520
140,190521
141,190522
142,190523
143,190524
144,190525
145,190526
146,190527
147,190528
148,190529
149,190530
150,190531
151,190601
152,190602
153,190603
154,190604
155,190605
156,190606
157,190607
158,190608
159,190609
160,190610
161,190611
162,190612
163,190613
164,190614
165,190615
166,190616
167,190617
168,190618
169,190619
170,190620
171,190621
172,190622
173,190623
174,190624
175,190625
176,190626
177,190627
178,190628
179,190629
180,190630
181,190701
182,190702
183,190703
184,190704
185,190705
186,190706
187,190707
188,190708
189,190709
190,190710
191,190711
192,190712
193,190713
194,190714
195,190715
196,190716
197,190717
198,190718
199,190719
200,190720
201,190721
202,190722
203,190723
204,190724
205,190725
206,190726
207,190727
208,190728
209,190729
210,190730
211,190731
212,190801
213,190802
214,190803
215,190804
216,190805
217,190806
218,190807
219,190808
220,190809
221,190810
222,190811
223,190812
224,190813
225,190814
226,190815
227,190816
228,190817
229,190818
230,190819
231,190820
232,190821
233,190822
234,190823
235,190824
236,190825
237,190826
238,190827
239,190828
240,190829
241,190830
242,190831
243,190901
244,190902
245,190903
246,190904
247,190905
248,190906
249,190907
250,190908
251,190909
252,190910
253,190911
254,190912
255,190913
256,190914
257,190915
258,190916
259,190917
260,190918
261,190919
262,190920
263,190921
264,190922
265,190923
266,190924
267,190925
268,190926
269,190927
270,190928
271,190929
272,190930
273,191001
274,191002
275,191003
276,191004
277,191005
278,191006
279,191007
280,191008
281,191009
282,191010
283,191011
284,191012
285,191013
286,191014
287,191015
288,191016
289,191017
290,191018
291,191019
292,191020
293,191021
294,191022
295,191023
296,191024
297,191025
298,191026
299,191027
300,191028
301,191029
302,191030
303,191031
304,191101
305,191102
306,191103
307,191104
308,191105
309,191106
310,191107
311,191108
312,191109
313,191110
314,191111
315,191112
316,191113
317,191114
318,191115
320,191117
321,191118
322,191119
323,191120
324,191121
325,191122
326,191123
327,191124
328,191125
329,191126
330,191127
331,191128
332,191129
333,191130
334,191201
335,191202
336,191203
337,191204
338,191205
339,191206
340,191207
343,191210
344,191211
345,191212
346,191213
347,191214
348,191215
349,191216
350,191217
351,191218
352,191219
353,191220
354,191221
355,191222
356,191223
357,191224
358,191225
359,191226
360,191227
361,191228
362,191229
363,191230
364,191231
365,200101
366,200102
367,200103
368,200104
369,200105
370,200106
371,200107
372,200108
373,200109
374,200110
375,200111
376,200112
377,200113
378,200114
379,200115
380,200116
381,200117
382,200118
383,200119
384,200120
385,200121
386,200122
387,200123
388,200124
389,200125
390,200126
391,200127
392,200128
393,200129
394,200130
395,200131
396,200201
397,200202
398,200203
399,200204
400,200205
401,200206
402,200207
403,200208
404,200209
405,200210
406,200211
407,200212
408,200213
410,200215
411,200216
412,200217
413,200218
414,200219
416,200221
417,200222
418,200223
419,200224
420,200225
421,200226
422,200227
423,200228
424,200229
425,200301
426,200302
427,200303
428,200304
429,200305
430,200306
431,200307
432,200308
433,200309
434,200310
435,200311
436,200312
437,200313
438,200314
439,200315
440,200316
441,200317
442,200318
443,200319
444,200320
445,200321
446,200322
447,200323
448,200324
449,200325
450,200326
451,200327
452,200328
453,200329
454,200330
455,200331
456,200401
457,200402
458,200403
459,200404
460,200405
461,200406
462,200407
463,200408
464,200409
465,200410
466,200411
467,200412
468,200413
469,200414
470,200415
471,200416
472,200417
473,200418
474,200419
475,200420
476,200421
477,200422
478,200423
479,200424
480,200425
481,200426
482,200427
483,200428
484,200429
485,200430
486,200501
487,200502
488,200503
489,200504
490,200505
491,200506
492,200507
493,200508
494,200509
495,200510
496,200511
497,200512
498,200513
499,200514
500,200515
